Equipo;Calificación del equipo;Tipo;Tipo.num;Capacitancia C1;Capacitancia C2;Capacitancia total;Factor de Potencia 10kV C1;Factor de Potencia 10kV Ctotal;Factor de Potencia 2.5kV C1;Factor de Potencia 2.5kV Ctotal;Factor de Potencia 2kV C2;Fuga de aceite;Inspección diafragma;Inspección visual general;Nivel de aceite;Severidad por termografía
1;FUN;IMB;0;904.26;36807;804.7606271;0.167;0.21;0.167;0.21;0.123;0;0;0;0;5
2;SEG;IMB;0;914;33155;889.479292;0.154;0.157;0.154;0.161;0.161;1;0;0;0;5
3;FUN;IMB;0;939.78;35278;915.3945615;0.244;0.1499;0.244;0.1499;0.137;0;0;0;0;5
4;FUN;IMB;0;922.51;37295;900.2420736;0.265;0.1897;0.265;0.1897;0.176;0;0;0;0;5
5;FUN;IMB;0;892;28696;865.1085575;0.188;0.1812;0.188;0.1812;0.219;0;0;0;0;5
6;FUN;IMB;0;908;32808;883.5468027;0.218;0.2112;0.218;0.2112;0.183;0;0;0;0;5
7;FUN;IMB;0;963.4;34585.9;937.2914814;0.159;0.2204;0.159;0.2204;0.201;0;0;0;0;5
8;SEG;IMB;0;869.3;30873.7;845.4937281;0.163;0.166;0.163;0.17;0.17;1;0;0;0;5
9;SEG;IMB;0;970.87;36303.8;945.5823568;0.177;0.18;0.177;0.184;0.184;1;0;0;0;5
10;FUN;IMB;0;970.53;41583;948.3948568;0.235;0.1988;0.235;0.1988;0.174;0;0;0;0;5
11;FUN;IMB;0;1014.05;44112;991.2627762;0.233;0.2346;0.233;0.2346;0.167;0;0;0;0;5
12;FUN;IMB;0;1060.25;36868;1030.611668;0.173;0.1706;0.173;0.1706;0.243;0;0;0;0;5
13;FUN;IMB;0;1039.06;41619.9;1013.751233;0.199;0.2088;0.199;0.2088;0.189;0;0;0;0;5
14;FUN;IMB;0;984.77;41969.3;962.1930486;0.261;0.1412;0.261;0.1412;0.189;0;0;0;0;5
15;FUN;IMB;0;935.99;42658;915.8937142;0.251;0.1825;0.251;0.1825;0.211;0;0;0;0;5
16;FUN;IMB;0;943.4;38252;920.693163;0.171;0.1712;0.171;0.1712;0.245;0;0;0;0;5
17;FUN;IMB;0;906.31;40972;886.6960801;0.186;0.2678;0.186;0.2678;0.131;0;0;0;0;5
18;FUN;IMB;0;984.24;47273;964.1657401;0.128;0.202;0.128;0.202;0.207;0;0;0;0;5
19;FUN;IMB;0;964.15;38337.2;940.4972445;0.176;0.2534;0.176;0.2534;0.12;0;0;0;0;5
20;SEG;IMB;0;1011.09;42851.3;987.7829484;0.209;0.212;0.209;0.216;0.216;0;0;0;0;3
21;FUN;IMB;0;1004.94;43434;982.2143363;0.196;0.241;0.196;0.241;0.145;0;0;0;0;5
22;FUN;IMB;0;909.5;31657;884.0999647;0.14;0.1985;0.14;0.1985;0.209;0;0;0;0;5
23;FUN;IMB;0;920.37;35580;897.1625384;0.151;0.1849;0.151;0.1849;0.236;0;0;0;0;5
24;FUN;IMB;0;873.26;28664;847.4423369;0.199;0.2914;0.199;0.2914;0.133;0;0;0;0;5
25;SEG;IMB;0;814.2;36009.15;796.1972479;0.143;0.146;0.143;0.15;0.15;0;0;0;0;3
26;FUN;IMB;0;917.07;36755.6;894.7456629;0.159;0.2289;0.159;0.2289;0.15;0;0;0;0;5
27;FUN;IMB;0;881.99;35171.7;860.4136687;0.131;0.2591;0.131;0.2591;0.245;0;0;0;0;5
28;FUN;IMB;0;894.9;37706.8;874.1536077;0.246;0.271;0.246;0.271;0.166;0;0;0;0;5
29;FUN;IMB;0;824.6;35308.4;805.7816024;0.226;0.1461;0.226;0.1461;0.21;0;0;0;0;5
30;FUN;IMB;0;874.55;36763;854.2288659;0.223;0.2143;0.223;0.2143;0.166;0;0;0;0;5
31;FUN;IMB;0;841.93;35141.6;822.2308175;0.22;0.2155;0.22;0.2155;0.163;0;0;0;0;5
32;FUN;IMB;0;908.03;37579.55;886.6070246;0.135;0.2666;0.135;0.2666;0.136;0;0;0;0;5
33;FUN;IMB;0;1001.9;40380;977.6429308;0.211;0.216;0.211;0.216;0.163;0;0;0;0;5
34;SEG;IMB;0;912.17;35898;889.5660808;0.165;0.168;0.165;0.172;0.172;1;0;0;0;3
35;FUN;IMB;0;994.09;40654;970.362263;0.259;0.2504;0.259;0.2504;0.176;0;0;0;0;5
36;FUN;IMB;0;878.84;36342;858.0892661;0.129;0.2476;0.129;0.2476;0.203;0;0;0;0;5
37;FUN;IMB;0;956.47;40802;934.5622323;0.238;0.2493;0.238;0.2493;0.215;0;0;0;0;5
38;FUN;IMB;0;986.99;39814;963.114372;0.184;0.2758;0.184;0.2758;0.235;0;0;0;0;5
39;FUN;IMB;0;1255.7;57010;1228.638067;0.18;0.241;0.18;0.241;0.225;0;0;0;0;5
40;FUN;IMB;0;999.96;38226;974.4687182;0.154;0.1484;0.154;0.1484;0.147;0;0;0;0;5
41;FUN;IMB;0;924.63;33781.05;899.9959736;0.23;0.218;0.23;0.218;0.194;0;0;0;0;5
42;SEG;IMB;0;921.88;41205;901.7061173;0.167;0.17;0.167;0.174;0.174;0;0;0;0;3
43;FUN;IMB;0;945.5;35552.25;921.0061545;0.12;0.2811;0.12;0.2811;0.206;0;0;0;0;5
44;FUN;IMB;0;1076;35508;1044.352941;0.264;0.1736;0.264;0.1736;0.171;0;0;0;0;5
45;FUN;IMB;0;842.42;26115.02;837.63;0.174;0.2643;0.174;0.2643;0.218;0;0;0;0;5
46;FUN;IMB;0;807.8;25041.8;802.6;0.25;0.1671;0.25;0.1671;0.218;0;0;0;0;5
47;FUN;IMB;0;782.42;24255.02;778.4;0.12;0.2239;0.12;0.2239;0.151;0;0;0;0;5
48;FUN;IMB;0;849.71;26341.01;844.8;0.213;0.1835;0.213;0.1835;0.16;0;0;0;0;5
49;FUN;IMB;0;822.88;25509.28;819.1;0.198;0.2695;0.198;0.2695;0.227;0;0;0;0;5
50;FUN;IMB;0;875;27125;869.06;0.256;0.2821;0.256;0.2821;0.2;0;0;0;0;5
51;FUN;IMB;0;860.39;26672.09;854.07;0.14;0.1765;0.14;0.1765;0.186;0;0;0;0;5
52;FUN;IMB;0;855.66;26525.46;849.09;0.151;0.1689;0.151;0.1689;0.171;0;0;0;0;5
53;FUN;IMB;0;800.43;24813.33;795.1;0.132;0.2251;0.132;0.2251;0.127;0;0;0;0;5
